idx,text_bilstm,true_label_bilstm,pred_label_bilstm,pred_prob_bilstm,text_llama,true_label_llama,pred_label_llama,pred_prob_llama,category
1,"*Flat SPOILERS* <br /><br />Five med students, Nelson (Kiefer Sutherland), David Labraccio (Kevin Bacon), Rachel Mannus (Julia Roberts), Joe Hurley (William Baldwin) & Randy Steckle (Oliver Platt) decide to attempt an experiment; dying for exactly 5 minutes (it is the maximum amount of time somebody can do this before being risk of brain damage).<br /><br />Almost everyone does this experiment, Randy being the lone exception, but they begin to have unwelcome visitors; David sees a little black girl shouting crude insults to him, Joe sees all the women he has had sex with (and which he videotaped) asking him why from the TV Screen, Rachel relives her father's suicide and Nelson faces a little boy with murderous intentions.<br /><br />Why are they here? And how will they get rid of them? This tense and interesting movie, set in an hallucinated city and into a Gothic Med School, is quite the experience, both for the story and the characters, played by then-budding stars such as Kiefer Sutherland, Julia Roberts, Oliver Platt, Kevin Bacon and William Baldwin.<br /><br />The director is Joel Schumacher, who had already worked with Sutherland in 'Lost Boys', and this second cooperation is even better than the first.<br /><br />A must for psychological-thriller-horror buds and metaphor lovers (this story is about forgiveness and righting of past wrongs), this is one of the minor classics from the '80s that get respect even today, like the mention by Rebecca Gayheart in 'Scream 2' or the Tru Calling episode which used the movie's premise.<br /><br />Flatliners: 9/10.",1,0,0.4781484603881836,"*Flat SPOILERS* <br /><br />Five med students, Nelson (Kiefer Sutherland), David Labraccio (Kevin Bacon), Rachel Mannus (Julia Roberts), Joe Hurley (William Baldwin) & Randy Steckle (Oliver Platt) decide to attempt an experiment; dying for exactly 5 minutes (it is the maximum amount of time somebody can do this before being risk of brain damage).<br /><br />Almost everyone does this experiment, Randy being the lone exception, but they begin to have unwelcome visitors; David sees a little black girl shouting crude insults to him, Joe sees all the women he has had sex with (and which he videotaped) asking him why from the TV Screen, Rachel relives her father's suicide and Nelson faces a little boy with murderous intentions.<br /><br />Why are they here? And how will they get rid of them? This tense and interesting movie, set in an hallucinated city and into a Gothic Med School, is quite the experience, both for the story and the characters, played by then-budding stars such as Kiefer Sutherland, Julia Roberts, Oliver Platt, Kevin Bacon and William Baldwin.<br /><br />The director is Joel Schumacher, who had already worked with Sutherland in 'Lost Boys', and this second cooperation is even better than the first.<br /><br />A must for psychological-thriller-horror buds and metaphor lovers (this story is about forgiveness and righting of past wrongs), this is one of the minor classics from the '80s that get respect even today, like the mention by Rebecca Gayheart in 'Scream 2' or the Tru Calling episode which used the movie's premise.<br /><br />Flatliners: 9/10.",1,1,0.99609375,llama_correct_bilstm_wrong
17,"The director was probably still in his early learning stages when he tried his hand at westerns. Have a look at the outfits. Everybody looks well-scrubbed, well-brushed, well-dressed and well-ironed as though ready for church. Even the horses look well-groomed and shiny. This is a WESTERN, for crying out loud! It's supposed to look dusty, nasty and sweaty. And then there's the amateurish acting of the females in this bird. The whole lot, a dozen or so, all pretty and well-endowed, were just freshly raped and widowed, but hardly a tear flows. Instead they all look with great interest (if not downright lust) at the newly arrived magnificent seven who they subsequently feed, bandage and comfort with love during their battles with the bandits. The same directing criticism goes for Lee van Cleef, who does a reasonable good acting job. Our Lee, playing the law, just lost his dear wife. But Lee, hard as organic rock, shows no emotion whatsoever and finds himself within days of his spouse's demise in the arms of a juicy widow with whom he, together with her brood, walks off into the future. The cad. And then there's another thing that always kind of bothers me with this type of films: it doesn't matter how many dynamite-induced explosions take place in the middle of a pack of some 50 horses, never mind how many shots are being fired at the rabble on top of them, only the crooks get killed and the nags always go their way rejoicing in one piece. (I know...silly moi...it's just a movie...). It's not the worst western ever made, but prepare for some serious yawning.",0,1,0.5619022250175476,"The director was probably still in his early learning stages when he tried his hand at westerns. Have a look at the outfits. Everybody looks well-scrubbed, well-brushed, well-dressed and well-ironed as though ready for church. Even the horses look well-groomed and shiny. This is a WESTERN, for crying out loud! It's supposed to look dusty, nasty and sweaty. And then there's the amateurish acting of the females in this bird. The whole lot, a dozen or so, all pretty and well-endowed, were just freshly raped and widowed, but hardly a tear flows. Instead they all look with great interest (if not downright lust) at the newly arrived magnificent seven who they subsequently feed, bandage and comfort with love during their battles with the bandits. The same directing criticism goes for Lee van Cleef, who does a reasonable good acting job. Our Lee, playing the law, just lost his dear wife. But Lee, hard as organic rock, shows no emotion whatsoever and finds himself within days of his spouse's demise in the arms of a juicy widow with whom he, together with her brood, walks off into the future. The cad. And then there's another thing that always kind of bothers me with this type of films: it doesn't matter how many dynamite-induced explosions take place in the middle of a pack of some 50 horses, never mind how many shots are being fired at the rabble on top of them, only the crooks get killed and the nags always go their way rejoicing in one piece. (I know...silly moi...it's just a movie...). It's not the worst western ever made, but prepare for some serious yawning.",0,0,0.00592041015625,llama_correct_bilstm_wrong
48,"""I thought I'd be locked away in a padded cell and they'd throw away the key"" (Thus is a paraphrased snatch of dialogue from ""State of Mind"".<br /><br />One wonders in what tangled forest Paula Milne and her co-writer found the magic mushrooms they must have eaten, to create this feeble ""whodunnit"" and bring such rubbish to our screens. A padded cell should indeed be left available.<br /><br />Niamh Cusack did her best, (as did the other actors) but surely her talent deserves a better vehicle than this. The height of absurdity has been reached, and this particular ""State of Mind"" is best buried and forgotten, and certainly not just ""placed in a box and locked away in a drawer"".",0,1,0.5135111808776855,"""I thought I'd be locked away in a padded cell and they'd throw away the key"" (Thus is a paraphrased snatch of dialogue from ""State of Mind"".<br /><br />One wonders in what tangled forest Paula Milne and her co-writer found the magic mushrooms they must have eaten, to create this feeble ""whodunnit"" and bring such rubbish to our screens. A padded cell should indeed be left available.<br /><br />Niamh Cusack did her best, (as did the other actors) but surely her talent deserves a better vehicle than this. The height of absurdity has been reached, and this particular ""State of Mind"" is best buried and forgotten, and certainly not just ""placed in a box and locked away in a drawer"".",0,0,0.0004310607910156,llama_correct_bilstm_wrong
61,"On paper this looks a good film . Michael Caine plays a tough and ruthless boxing promoter who's son is up for a title eliminator . The pity is that when the story is transferred from paper to my television screen it loses a certain everything . I had hoped we'd be seen emulating his definitive role in GET CARTER and as the film progresses it does seem to take on the qualities of a tough gritty revenge thriller but the whole tone of the film jumps around so much you'll be confused as to what genre it's trying to fit in to . For example Caine ( Who you can't believe in as Billy "" Shiner "" Simpson , he's simply Michael Caine ) has a laugh out line as he refers to someone as "" Hattie Jacques "" then in a supposedly humorous moment has his henchmen break someone's arm . Oh how I laughed . I mean it's supposed to elicit a laugh the way it plays out on screen isn't it ? But these seems at odds with the way the rest of the film plays out <br /><br />Obviously director John Irvin doesn't know what approach to take with Scott Cherry's screenplay . Irvin isn't a bad director and is well regarded for his war films such as THE DOGS OF WAR and HAMBURGER HILL but he's ill suited to this type of violent drama and one can't help but feel he might have been intimidated somewhat by a living legend like Caine . Caine does give the impression he's just doing it for the money and the well known faces in supporting roles like Landua and Cranham are basically just cameos who could be played by anyone",0,1,0.5384649634361267,"On paper this looks a good film . Michael Caine plays a tough and ruthless boxing promoter who's son is up for a title eliminator . The pity is that when the story is transferred from paper to my television screen it loses a certain everything . I had hoped we'd be seen emulating his definitive role in GET CARTER and as the film progresses it does seem to take on the qualities of a tough gritty revenge thriller but the whole tone of the film jumps around so much you'll be confused as to what genre it's trying to fit in to . For example Caine ( Who you can't believe in as Billy "" Shiner "" Simpson , he's simply Michael Caine ) has a laugh out line as he refers to someone as "" Hattie Jacques "" then in a supposedly humorous moment has his henchmen break someone's arm . Oh how I laughed . I mean it's supposed to elicit a laugh the way it plays out on screen isn't it ? But these seems at odds with the way the rest of the film plays out <br /><br />Obviously director John Irvin doesn't know what approach to take with Scott Cherry's screenplay . Irvin isn't a bad director and is well regarded for his war films such as THE DOGS OF WAR and HAMBURGER HILL but he's ill suited to this type of violent drama and one can't help but feel he might have been intimidated somewhat by a living legend like Caine . Caine does give the impression he's just doing it for the money and the well known faces in supporting roles like Landua and Cranham are basically just cameos who could be played by anyone",0,0,0.005218505859375,llama_correct_bilstm_wrong
66,"It's a kinder, gentler Cyborg movie with a love story. Awww. It's not as bad as it sounds. The action, when it is there, is decent and Jack Palance, Elias Koteas, and Angelina Jolie are always dependable. It's the fact that this is a sequel to the terrible Jean Claude Van Damme film, or is that the capper to the Masters of the Universe trilogy? I'm still confused about that. Either way, there was really no need for this movie. What was there a need for? Angelina Jolie. She may play an assassin robot that can explodes mid-coitus, but, what a way to go and even though this is her first movie, she still has the presence that made her an award winner.",0,1,0.942515790462494,"It's a kinder, gentler Cyborg movie with a love story. Awww. It's not as bad as it sounds. The action, when it is there, is decent and Jack Palance, Elias Koteas, and Angelina Jolie are always dependable. It's the fact that this is a sequel to the terrible Jean Claude Van Damme film, or is that the capper to the Masters of the Universe trilogy? I'm still confused about that. Either way, there was really no need for this movie. What was there a need for? Angelina Jolie. She may play an assassin robot that can explodes mid-coitus, but, what a way to go and even though this is her first movie, she still has the presence that made her an award winner.",0,0,0.1826171875,llama_correct_bilstm_wrong
67,"Everyone in this movie tells Raffy Carruthers how talented she is, what a great director she'll one day turn out to be, etc. I think they're just being nice. Even Kimble Rendall, who directed this film, shows more talent than she does. ""The next Jane Campion"", they call her; and, even apart from the fact that they're both over-rated, the two have SO much in common. They both direct movies. They're both women. They're both Australian. (Well, give or take.)<br /><br />Yep: it's one of those films in which a character is deemed to be brilliant, and we just have to swallow hard and accept it. But I'll say this for Carruthers: she's cute. -And fascinating. No, really. Here are some thoughts on her lack of talent:<br /><br />(1) Part of a director's talent lies in dealing with people. Why is Carruthers so phenomenally bad at getting her crew to even take notice of her? So as to make it easier for everyone to wander off the set and get killed, I expect.<br /><br />(2) Why is this one of the most unconvincing depictions of a movie set I have ever seen? After all, it must have been filmed on a REAL movie set. How could they get it wrong? If Rendall's set was half as much of an under-staffed shambles it's a wonder he completed his film at all.<br /><br />(3) Carruthers - the fictional director - has set herself the task of creating a brand new 1980s horror flick. Fat chance. I doubt it can be done these days. I suspect that Rendall - the actual, and more talented, director - set himself the same task, realised it couldn't be done, and settled for (sigh) knowing parody instead. Of course, it's not ENOUGH of a parody to work as a parody. As soon as the cast and crew set foot in the isolated mansion the film just spends most of its time doing badly what 1980s horror films did ... well, less badly.<br /><br />(4) And yet, and yet ... the film opens with not a parody but an honest-to-goodness pastiche of 80s horror, starring (this is too good to be true) Molly Ringwald. This pastiche is much better than anything that follows. (It's a bad sign when you find yourself wishing you were watching the movie-within-the-movie, rather than the movie.) Yet it, too, was filmed in the late 1990s. Perhaps it IS still possible to make 1980s horror. You just have to drop the knowing parody stuff and MEAN it.<br /><br />(5) I'd never once wondered what 1980s teen horror would be like if all the characters had Australian accents, but now I know. And strangely, I'm glad I know. A need I never knew I had has been fulfilled.",0,1,0.8198845982551575,"Everyone in this movie tells Raffy Carruthers how talented she is, what a great director she'll one day turn out to be, etc. I think they're just being nice. Even Kimble Rendall, who directed this film, shows more talent than she does. ""The next Jane Campion"", they call her; and, even apart from the fact that they're both over-rated, the two have SO much in common. They both direct movies. They're both women. They're both Australian. (Well, give or take.)<br /><br />Yep: it's one of those films in which a character is deemed to be brilliant, and we just have to swallow hard and accept it. But I'll say this for Carruthers: she's cute. -And fascinating. No, really. Here are some thoughts on her lack of talent:<br /><br />(1) Part of a director's talent lies in dealing with people. Why is Carruthers so phenomenally bad at getting her crew to even take notice of her? So as to make it easier for everyone to wander off the set and get killed, I expect.<br /><br />(2) Why is this one of the most unconvincing depictions of a movie set I have ever seen? After all, it must have been filmed on a REAL movie set. How could they get it wrong? If Rendall's set was half as much of an under-staffed shambles it's a wonder he completed his film at all.<br /><br />(3) Carruthers - the fictional director - has set herself the task of creating a brand new 1980s horror flick. Fat chance. I doubt it can be done these days. I suspect that Rendall - the actual, and more talented, director - set himself the same task, realised it couldn't be done, and settled for (sigh) knowing parody instead. Of course, it's not ENOUGH of a parody to work as a parody. As soon as the cast and crew set foot in the isolated mansion the film just spends most of its time doing badly what 1980s horror films did ... well, less badly.<br /><br />(4) And yet, and yet ... the film opens with not a parody but an honest-to-goodness pastiche of 80s horror, starring (this is too good to be true) Molly Ringwald. This pastiche is much better than anything that follows. (It's a bad sign when you find yourself wishing you were watching the movie-within-the-movie, rather than the movie.) Yet it, too, was filmed in the late 1990s. Perhaps it IS still possible to make 1980s horror. You just have to drop the knowing parody stuff and MEAN it.<br /><br />(5) I'd never once wondered what 1980s teen horror would be like if all the characters had Australian accents, but now I know. And strangely, I'm glad I know. A need I never knew I had has been fulfilled.",0,0,0.004058837890625,llama_correct_bilstm_wrong
79,"First of all, the genre of this movie isn't comedy, it's more of a drama.<br /><br />I had low expectations on the movie, and still they didn't come up them. As some of the other reviews point out, there are some nice music in the movie. But if you want to listen to good music I suggest spend the time looking at some concert recording with Bon Jovi, or Mötley Crue, it'll be more quality time.<br /><br />Last, if you want to watch a GOOD movie in this rock'n'roll genre, I recommend ""Almost Famous"".",0,1,0.966370403766632,"First of all, the genre of this movie isn't comedy, it's more of a drama.<br /><br />I had low expectations on the movie, and still they didn't come up them. As some of the other reviews point out, there are some nice music in the movie. But if you want to listen to good music I suggest spend the time looking at some concert recording with Bon Jovi, or Mötley Crue, it'll be more quality time.<br /><br />Last, if you want to watch a GOOD movie in this rock'n'roll genre, I recommend ""Almost Famous"".",0,0,0.005218505859375,llama_correct_bilstm_wrong
82,"Lindsay Anderson was very much a European film maker , whereas the likes of David Lean , Ridley Scott and Alan Parker make spectacular movies involving visuel scope Anderson`s movie are more about social commentary and subtext , so much so that the message often ends up taking over the entire film whose primary function should be to entertain the audience <br /><br />What you think of IF comes down to what you think of British film makers . I`m very much of the view that cinema should be a universial medium ( The best Brit movie makes are those who try to emulate Hollywood in my opinion ) , if you want to send a message try pony express , and I find the movie dated , pretentious and too set in the 1960s . 1968 was the summer of love and the year of student rebellion in France . You can just imagine every single French leftist worshipping this movie especially the climax . French new wave film makers will also admire the abstract surrealism of some scenes but a mainstream international will dislike it , and many will dislike it intensely",0,1,0.9884874820709229,"Lindsay Anderson was very much a European film maker , whereas the likes of David Lean , Ridley Scott and Alan Parker make spectacular movies involving visuel scope Anderson`s movie are more about social commentary and subtext , so much so that the message often ends up taking over the entire film whose primary function should be to entertain the audience <br /><br />What you think of IF comes down to what you think of British film makers . I`m very much of the view that cinema should be a universial medium ( The best Brit movie makes are those who try to emulate Hollywood in my opinion ) , if you want to send a message try pony express , and I find the movie dated , pretentious and too set in the 1960s . 1968 was the summer of love and the year of student rebellion in France . You can just imagine every single French leftist worshipping this movie especially the climax . French new wave film makers will also admire the abstract surrealism of some scenes but a mainstream international will dislike it , and many will dislike it intensely",0,0,0.00970458984375,llama_correct_bilstm_wrong
85,"I saw this movie last year in Media class and I have to say I really hated it. I was in year 10 (and aged 15) so that may have has something to do with it. But for English this year, year 11, we had to read Animal Farm, also by George Orwell. Aside from the fact that the book is based on the Revolution, my opinion is that it is a terrible book, and I also hated it.<br /><br />But 1984, I think it was the most disturbing movie I have ever seen, and I think that George Orwell is one of the most deranged people ever to live on this planet. I'm sorry to everyone who loved his work, but I unfortunately did not. The themes in the movie were well portrayed, but the way the whole movie was set and the events that took place within it were not to my standards. This is only my opinion, and I'm sure many many other people thoroughly enjoyed this film.",0,1,0.9904954433441162,"I saw this movie last year in Media class and I have to say I really hated it. I was in year 10 (and aged 15) so that may have has something to do with it. But for English this year, year 11, we had to read Animal Farm, also by George Orwell. Aside from the fact that the book is based on the Revolution, my opinion is that it is a terrible book, and I also hated it.<br /><br />But 1984, I think it was the most disturbing movie I have ever seen, and I think that George Orwell is one of the most deranged people ever to live on this planet. I'm sorry to everyone who loved his work, but I unfortunately did not. The themes in the movie were well portrayed, but the way the whole movie was set and the events that took place within it were not to my standards. This is only my opinion, and I'm sure many many other people thoroughly enjoyed this film.",0,0,0.037353515625,llama_correct_bilstm_wrong
90,"The main character Lance Barton gets killed and to heaven before his time. When heaven learns about the mistake he is given the body of just deceased rich old and white Mr. Wellington.<br /><br />A young black guy in a old white mans body still behaving like the young black man is maybe funny if you see it done by an old white actor. In this movie I ended up reminding myself several times: ""Chris Rock is supposed to be an old white guy"".<br /><br />The whole concept does not play as intended: The ""illusion"" is not transported well and the love story is not believable at all. The fact that all you see is Chris Rock playing a young black guy, because the old white person everyone is supposed to see is only shown in small scenes, is to much of a challenge for the viewers ""suspension of disbelief"".",0,1,0.6651372909545898,"The main character Lance Barton gets killed and to heaven before his time. When heaven learns about the mistake he is given the body of just deceased rich old and white Mr. Wellington.<br /><br />A young black guy in a old white mans body still behaving like the young black man is maybe funny if you see it done by an old white actor. In this movie I ended up reminding myself several times: ""Chris Rock is supposed to be an old white guy"".<br /><br />The whole concept does not play as intended: The ""illusion"" is not transported well and the love story is not believable at all. The fact that all you see is Chris Rock playing a young black guy, because the old white person everyone is supposed to see is only shown in small scenes, is to much of a challenge for the viewers ""suspension of disbelief"".",0,0,0.00860595703125,llama_correct_bilstm_wrong
